r Squan Smax
0. 0. 0.
0.02 0.01678835735607821 0.017108803420275934
0.04 0.033255615873262534 0.03421760684055187
0.06 0.049204267274958295 0.0513264102608278
0.08 0.064996508269067 0.06843521368110374
0.1 0.08014069609268683 0.08554401710137967
0.12 0.09521925552133635 0.1026528205216556
0.14 0.10954044246031391 0.11976162394193154
0.16 0.12349856078454108 0.13687042736220748
0.18 0.13684400453629947 0.1539792307824834
0.2 0.1493526751604266 0.17108803420275934
0.22 0.16202542175456736 0.18819683762303527
0.24 0.1740061915444295 0.2053056410433112
0.26 0.1848656725792618 0.22241444446358713
0.28 0.19508286742274805 0.2395232478838631
0.3 0.20485303044142122 0.25663205130413896
0.32 0.213754940873972 0.27374085472441495
0.34 0.22213540542477944 0.2908496581446909
0.36 0.22944000750965282 0.3079584615649668
0.38 0.23536672010532395 0.32506726498524274
0.4 0.24103742941519055 0.3421760684055187
0.42 0.24607642420020046 0.3592848718257946
0.44 0.24990716597920623 0.37639367524607054
0.46 0.2518270132788299 0.39350247866634647
0.48 0.25379763354052853 0.4106112820866224
0.5 0.2538576426673422 0.42772008550689833
0.52 0.25364350844714756 0.4106112820866224
0.54 0.2522381818415871 0.3935024786663464
0.56 0.24918073057759385 0.3763936752460705
0.58 0.24568460382869972 0.3592848718257946
0.6 0.24137836937481108 0.3421760684055187
0.62 0.23572346190798654 0.32506726498524274
0.64 0.2291478588119018 0.3079584615649668
0.66 0.2221209699059334 0.2908496581446908
0.68 0.21399810919833365 0.2737408547244149
0.7000000000000001 0.2052714612474997 0.25663205130413896
0.72 0.19493533479431843 0.2395232478838631
0.74 0.1848888122527836 0.22241444446358713
0.76 0.1737989835430035 0.2053056410433112
0.78 0.16168061373943726 0.18819683762303524
0.8 0.14959865991786722 0.17108803420275928
0.8200000000000001 0.13680150744514444 0.15397923078248335
0.84 0.12315509383159792 0.1368704273622075
0.86 0.10930768820767327 0.11976162394193154
0.88 0.09506348078103281 0.1026528205216556
0.9 0.08035256174436607 0.08554401710137964
0.92 0.0648686872999842 0.0684352136811037
0.9400000000000001 0.04920941037465203 0.05132641026082775
0.96 0.03319109374273223 0.0342176068405519
0.98 0.016763821916067168 0.01710880342027595
1. 0. 0.
